idx,ts,d1,d2,winner
227,2021-05-26 16:53:06,GrenMajuThunderBoarder,Zoodiac,Zoodiac
228,2021-05-26 16:53:16,Burn,Zoodiac,Zoodiac
229,2021-05-26 16:53:29,MokeyMokeyKing,Zoodiac,Zoodiac
230,2021-05-26 16:53:40,PureWinds,Zoodiac,PureWinds
231,2021-05-26 16:53:45,DarkMagician,Witchcraft,DarkMagician
232,2021-05-26 16:53:49,DarkMagician,Rank5,Rank5
233,2021-05-26 16:53:52,DarkMagician,ToadallyAwesome,ToadallyAwesome
234,2021-05-26 16:53:57,DarkMagician,ZexalWeapons,ZexalWeapons
235,2021-05-26 16:54:03,DarkMagician,SkyStriker,SkyStriker
236,2021-05-26 16:54:11,Beater,DarkMagician,DarkMagician
237,2021-05-26 16:54:17,DarkMagician,MokeyMokey,DarkMagician
238,2021-05-26 16:54:20,DarkMagician,Yosenju,Yosenju
239,2021-05-26 16:54:23,DarkMagician,Mathmech,Mathmech
240,2021-05-26 16:54:30,DarkMagician,Dragunity,DarkMagician
241,2021-05-26 16:54:48,ChainBurn,DarkMagician,DarkMagician
242,2021-05-26 16:54:56,DarkMagician,Nekroz,DarkMagician
243,2021-05-26 16:54:59,Blackwing,DarkMagician,Blackwing
244,2021-05-26 16:55:05,DarkMagician,LightswornShaddoldinosour,DarkMagician
245,2021-05-26 16:55:13,DarkMagician,Evilswarm,DarkMagician
246,2021-05-26 16:55:21,DarkMagician,Level8,Level8
247,2021-05-26 16:55:38,DarkMagician,Graydle,Graydle
248,2021-05-26 16:55:42,DarkMagician,Trickstar,Trickstar
249,2021-05-26 16:55:50,DarkMagician,Rainbow,DarkMagician
250,2021-05-26 16:55:58,DarkMagician,Salamangreat,Salamangreat
251,2021-05-26 16:56:03,DarkMagician,Lightsworn,DarkMagician
252,2021-05-26 16:56:07,DarkMagician,Orcust,Orcust
253,2021-05-26 16:56:15,DarkMagician,Gravekeeper,DarkMagician
254,2021-05-26 16:56:17,BlueEyes,DarkMagician,BlueEyes
255,2021-05-26 16:56:21,DarkMagician,ST1732,ST1732
256,2021-05-26 16:56:24,CyberDragon,DarkMagician,CyberDragon
257,2021-05-26 16:56:28,BlueEyesMaxDragon,DarkMagician,BlueEyesMaxDragon
258,2021-05-26 16:56:31,DarkMagician,OldSchool,OldSchool
259,2021-05-26 16:56:34,DarkMagician,Phantasm,Phantasm
260,2021-05-26 16:56:38,DarkMagician,Horus,Horus
261,2021-05-26 16:56:41,DarkMagician,Qliphort,Qliphort
262,2021-05-26 16:56:45,DarkMagician,GrenMajuThunderBoarder,GrenMajuThunderBoarder
263,2021-05-26 16:56:51,Burn,DarkMagician,Burn
264,2021-05-26 16:56:58,DarkMagician,MokeyMokeyKing,DarkMagician
265,2021-05-26 16:57:03,DarkMagician,PureWinds,PureWinds
266,2021-05-26 16:57:09,Rank5,Witchcraft,Rank5
267,2021-05-26 16:57:14,ToadallyAwesome,Witchcraft,ToadallyAwesome
268,2021-05-26 16:57:21,Witchcraft,ZexalWeapons,ZexalWeapons
269,2021-05-26 16:57:25,SkyStriker,Witchcraft,SkyStriker
270,2021-05-26 16:57:32,Beater,Witchcraft,Witchcraft
271,2021-05-26 16:57:37,MokeyMokey,Witchcraft,Witchcraft
272,2021-05-26 16:57:41,Witchcraft,Yosenju,Yosenju
273,2021-05-26 16:57:45,Mathmech,Witchcraft,Mathmech
274,2021-05-26 16:57:48,Dragunity,Witchcraft,Dragunity
275,2021-05-26 16:58:28,ChainBurn,Witchcraft,ChainBurn
276,2021-05-26 16:58:37,Nekroz,Witchcraft,Witchcraft
277,2021-05-26 16:58:44,Blackwing,Witchcraft,Blackwing
278,2021-05-26 16:58:49,LightswornShaddoldinosour,Witchcraft,LightswornShaddoldinosour
279,2021-05-26 16:58:55,Evilswarm,Witchcraft,Evilswarm
280,2021-05-26 16:59:02,Level8,Witchcraft,Level8
281,2021-05-26 16:59:12,Graydle,Witchcraft,Graydle
282,2021-05-26 16:59:40,Trickstar,Witchcraft,Trickstar
283,2021-05-26 16:59:42,Rainbow,Witchcraft,Rainbow
284,2021-05-26 16:59:48,Salamangreat,Witchcraft,Salamangreat
285,2021-05-26 16:59:52,Lightsworn,Witchcraft,Witchcraft
286,2021-05-26 17:00:00,Orcust,Witchcraft,Witchcraft
287,2021-05-26 17:00:05,Gravekeeper,Witchcraft,Gravekeeper
288,2021-05-26 17:00:08,BlueEyes,Witchcraft,BlueEyes
289,2021-05-26 17:00:17,ST1732,Witchcraft,ST1732
290,2021-05-26 17:00:20,CyberDragon,Witchcraft,CyberDragon
291,2021-05-26 17:00:24,BlueEyesMaxDragon,Witchcraft,BlueEyesMaxDragon
292,2021-05-26 17:00:26,OldSchool,Witchcraft,OldSchool
293,2021-05-26 17:00:35,Phantasm,Witchcraft,Witchcraft
294,2021-05-26 17:00:40,Horus,Witchcraft,Witchcraft
295,2021-05-26 17:00:47,Qliphort,Witchcraft,Qliphort
296,2021-05-26 17:00:52,GrenMajuThunderBoarder,Witchcraft,GrenMajuThunderBoarder
297,2021-05-26 17:00:55,Burn,Witchcraft,Burn
298,2021-05-26 17:00:58,MokeyMokeyKing,Witchcraft,MokeyMokeyKing
299,2021-05-26 17:01:03,PureWinds,Witchcraft,PureWinds
300,2021-05-26 17:01:11,Rank5,ToadallyAwesome,Rank5
301,2021-05-26 17:01:15,Rank5,ZexalWeapons,Rank5
